Features,importance
technical_22_lag5,0.004487804417527469
technical_22_rolling5,0.004942651390704391
20_30_lag5,0.005256830506653918
technical_11,0.0062608584120922685
technical_2,0.007468813400361002
technical_17,0.00824744047480473
20_30_rolling5,0.008528811018279058
technical_43,0.010380913388787813
20_30_lagdiff5,0.011224312152723667
technical_30,0.01169234704072312
technical_34,0.01484920578163522
technical_7,0.01707669457008703
technical_14_demean,0.01863936840323969
premium_20_30,0.03229075294259878
20_30_demean,0.03341194804802069
technical_20,0.03495321890020676
technical_40,0.054439295337794895
technical_22_demean,0.09955103856195183
mkt_20_30,0.21468294130492913
vol_20_30,0.23183860729928257
